id,report_id,account_name,balance_start,income_amount,expense_amount,balance_current,account_type,level,currency,is_total_row,created_at,subconto,parent_id,account_id,parent_account_id
9f43d2ac-b2d5-4d16-b03a-a378dfe053ee,718e592b-5a5e-44e0-84dd-63f6433bfa71,Упр,1000000.00,0.00,0.00,1000000.00,bank,2,RUB,false,2025-07-23 17:32:42.000341+00,,f3304240-0979-4065-a276-c7d375b012ee,663af212-a581-4ec2-8502-70e5e8261dba,0d5c1a45-7a3d-4db6-af5c-e6f388e42525
15440850-dfea-4b3a-8de8-5dad08725215,718e592b-5a5e-44e0-84dd-63f6433bfa71,,56975.97,0.00,1170.00,55805.97,total,2,RUB,false,2025-07-23 17:32:42.000341+00,,f3304240-0979-4065-a276-c7d375b012ee,9516914a-bd98-482b-adcf-2e85869df14e,0d5c1a45-7a3d-4db6-af5c-e6f388e42525
16471344-6966-4685-b5a5-2d928ebcc9eb,718e592b-5a5e-44e0-84dd-63f6433bfa71,ЮникредитБанк,896173.76,0.00,0.00,896173.76,bank,2,RUB,false,2025-07-23 17:32:42.000341+00,,f3304240-0979-4065-a276-c7d375b012ee,0de5ff15-d0c9-11ef-967e-2c6dc1e036d0,0d5c1a45-7a3d-4db6-af5c-e6f388e42525
a62bcb34-be21-4fee-a755-1173fb12e354,718e592b-5a5e-44e0-84dd-63f6433bfa71,Сбербанк9561,8002.23,0.00,0.00,8002.23,bank,2,RUB,false,2025-07-23 17:32:42.000341+00,,f3304240-0979-4065-a276-c7d375b012ee,e6f83c5a-e3d5-11ef-967e-2c6dc1e036d0,0d5c1a45-7a3d-4db6-af5c-e6f388e42525
9b80c286-6a6a-4964-80cd-6f4fea23ce7b,718e592b-5a5e-44e0-84dd-63f6433bfa71,Сбербанк8303,0.00,182000.00,0.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.000341+00,Перечислениеденежныхсредствнадругойсчет,3a7e22eb-a9d2-48b8-b90d-770fd438b05d,38277bcb-c52e-11ef-98e2-74563cd6494c,0de5ff14-d0c9-11ef-967e-2c6dc1e036d0
1b02375c-7e1b-4868-90c1-96f554305b5e,718e592b-5a5e-44e0-84dd-63f6433bfa71,Альфа-банк,0.00,0.00,35100.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.000341+00,3.7.6.Программноеобеспечение,3a7e22eb-a9d2-48b8-b90d-770fd438b05d,c3177504-487d-11ed-967d-14857fc22c97,495fafa7-d68b-11ef-967e-2c6dc1e036d0
7dc6ddc9-43d0-4611-b7b1-a24d0827eca2,718e592b-5a5e-44e0-84dd-63f6433bfa71,Сбербанк8303,0.00,0.00,2025.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.000341+00,3.7.6.Программноеобеспечение,3a7e22eb-a9d2-48b8-b90d-770fd438b05d,c3177504-487d-11ed-967d-14857fc22c97,0de5ff14-d0c9-11ef-967e-2c6dc1e036d0
5350dbd7-00c2-4cd5-9b6a-acb77d84da63,718e592b-5a5e-44e0-84dd-63f6433bfa71,Альфа-банк,0.00,1652303.86,0.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.000341+00,1.1.Поступленияпоосновнойдеятельности,3a7e22eb-a9d2-48b8-b90d-770fd438b05d,e6f83c52-e3d5-11ef-967e-2c6dc1e036d0,495fafa7-d68b-11ef-967e-2c6dc1e036d0
4299cb3c-48cb-40f7-99c8-3a8bfac3734b,718e592b-5a5e-44e0-84dd-63f6433bfa71,,0.00,0.00,1170.00,0.00,total,3,RUB,false,2025-07-23 17:32:42.000341+00,3.6.3.Хозрасходы,,420db9f7-e46d-11ef-967e-2c6dc1e036d0,
6aeb27a4-f735-4a31-a507-76597cc6dce8,718e592b-5a5e-44e0-84dd-63f6433bfa71,Альфа-банк,0.00,0.00,92000.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.000341+00,3.5.9.РасходынапродвижениепродажвсетиИнтернет,6ba8a625-2ae5-4b62-9f5f-f1feefc888fd,8f210efd-5870-11ed-9681-14857fc22c97,495fafa7-d68b-11ef-967e-2c6dc1e036d0
